Place ID,Facility,Facility Group,Type,Address Location ID,Location,X Coordinate,Y Coordinate,Latitude,Longitude,Geometry
3311,Showers Commons,Parks,Park Plaza Area,,In front of Showers City Hall,3107827,1428675,39.169549,-86.536361,POINT (-86.53636576098 39.169556431731)
4264,Bloomington Office of the Mayor,City Offices,Government Offices,44273,401 N Morton ST STE 210,3107736,1428878,39.170108,-86.536677,POINT (-86.536682398552 39.170115264928)
2891,Rev Ernest D Butler Park Southern Trail Head,Parks,Trailhead,,At W 9th ST across from N William ST,3105885,1429018,39.170523,-86.543203,POINT (-86.543207910223 39.170530071596)
2905,Griffy Creek Trail Griffy Lake Trail Head,Parks,Trailhead,,East end of the Griffy Lake Boathouse parking lot,3114767,1439004,39.197789,-86.511654,POINT (-86.511659104568 39.197796589684)
4079,Bloomington Human Resources,City Offices,Government Offices,69643,401 N Morton ST STE 230,3107748,1428763,39.169792,-86.536637,POINT (-86.536642519338 39.169799339683)
795,Leonard Springs Nature Park,Parks,Nature Park/Preserve,43737,4685 S Leonard Springs RD,3092308,1410261,39.116803,-86.592191,POINT (-86.591452899133 39.11924502224)
4074,Bloomington Public Works,City Offices,Government Offices,69637,401 N Morton ST STE 120,3107727,1428705,39.169633,-86.536713,POINT (-86.536717818212 39.169640450151)
1236,Sherwood Oaks Park,Parks,Neighborhood Park,40822,1600 E Elliston DR,3114198,1413981,39.129445,-86.513553,POINT (-86.514220595866 39.129107092094)
2902,Griffy Creek Trail East Trail Head,Parks,Trailhead,,East end of Griffy Creek Trail on the east side of Griffy La,3121873,1441645,39.204914,-86.48652,POINT (-86.486525364626 39.204921511505)
4850,Clear Creek Trail Parking Lot Central,Parking Facility,Parking Lot,,,3104222,1408842,39.1151584,-86.5494835,POINT (-86.549491880166 39.115164436523)
3269,Bloomington Rail Trail,Parks,Multi-use Trail,,Connects B-Line Trail at County Club DR to Clear Creek Trail,3107288,1410575,39.119865,-86.538645,POINT (-86.538649910838 39.119872372996)
3275,Griffy Lake Nature Preserve,Parks,Nature Park/Preserve,50534,3400 N Headley RD,3115211,1439655,39.199569,-86.510073,POINT (-86.510077992428 39.199576166561)
3313,Realtors Plaza,Parks,Park Plaza Area,,South side of 3rd ST Bridge on the B-Line Trail,3107884,1426824,39.164466,-86.536199,POINT (-86.536204098449 39.16447364879)
2913,Polly Grimshaw Trail East Trail Head,Parks,Trailhead,,At E Longview AVE and Glenwood Ave W,3120926,1428189,39.167989,-86.490172,POINT (-86.490177639044 39.16799614438)
1832,Winslow Sports Complex,Parks,Sports Park,41337,2801 S Highland AVE,3113842,1417253,39.137837,-86.51607,POINT (-86.515403313299 39.138096364739)
4350,CBU Southeast Booster Station & Tank,Operational Facility,Government Operations,60733,4101 S Harrell RD,3119207,1410518,39.119505,-86.496638,POINT (-86.496643165317 39.119512030248)
3314,Seminary Square Plaza,Parks,Park Plaza Area,,West side of the W 2nd ST Kroger Grocery Store on B-Line Tra,3107895,1425268,39.160194,-86.536193,POINT (-86.536198398859 39.16020153292)
1792,Building Trades Park,Parks,Neighborhood Park,14385,619 W Howe ST,3106615,1426014,39.162269,-86.540628,POINT (-86.540696571373 39.162270752037)
5043,Carlisle Parking Lot,Parking Facility,Parking,,"Title 15 Lot 23, commonly know as Carlisle Lot",3111812,1422589,39.1527733,-86.5224377,POINT (-86.522443568047 39.152780789759)
873,Mills Pool,Parks,Swimming Pool,15132,1100 W 14th ST,3105426,1431028,39.176049,-86.54478,POINT (-86.544784713551 39.176055933572)
4968,Switchyard Park Rogers Entrance,Parks,Entrance,,,3107183,1420723,39.147728,-86.5388,POINT (-86.538805184572 39.147735422084)
